,"OM",,".OMAN",,,,,,,,
,"OM","ALA","Al Azaiba","Al Azaiba","MA","--3-----","RL","1301",,"2336S 05832E",
,"OM","AMR","Al'Amrat","Al'Amrat","MA","--3-----","RL","1701",,"2331N 05829E",
"+","OM","SUW","Al-Suwaiq","Al-Suwaiq","BJ","1-------","AA","1807",,"2351N 05726E",
,"OM","BKK","Barka","Barka","BA","--3-----","RL","1407",,"2342N 05733E",
,"OM","BID","Bidbid","Bidbid","DA","--3-----","RL","1801",,"2324N 05807E",
,"OM","RMB","Buraimi","Buraimi",,"---4----","AI","0001",,,
,"OM","BYB","Dibaa","Dibaa",,"---4----","AI","0001",,,
,"OM","DQM","Duqm","Duqm","WU","1-3-----","RL","1207",,"1939N 05742E",
,"OM","FAH","Fahal","Fahal","MA","1-------","RL","0212",,"2341N 05830E",
,"OM","R2H","Ghurah","Ghurah","BA","--3-----","RL","1401",,"2331N 05711E",
,"OM","KHS","Khasab","Khasab",,"---4----","AI","0001",,,
,"OM","OMM","Marmul","Marmul",,"---4----","AI","0001",,,
,"OM","MSH","Masirah","Masirah","SH","---4----","AI","0212",,"2025N 05850E",
,"OM","MFH","Mina' al Fahl","Mina' al Fahl","MA","1-------","RL","0212",,"2338N 05831E",
,"OM","MNQ","Mina' Qabus","Mina' Qabus","MA","--3-----","RL","0212",,"2337N 05834E",
,"OM","STQ","Mina Sultan Qaboos, Muscat","Mina Sultan Qaboos, Muscat",,"1-3-----","RL","0607",,"2337N 05833E",
,"OM","MCT","Muscat","Muscat","MA","1--45---","AI","1601",,"2336N 05835E",""
,"OM","MUT","Muthra","Muthra",,"1-------","QQ","8103",,,
,"OM","NIZ","Nizwa","Nizwa","DA","--3-----","RL","1501",,"2256N 05732E",
,"OM","OPQ","Port Qaboos","Port Qaboos",,"1-------","QQ","1407",,,""
,"OM","SUL","Port Sultan","Port Sultan",,"1-------","RQ","0212",,"2337N 05838E",
,"OM","QAL","Qalhat","Qalhat","SH","1-3-----","RL","0307",,"2242N 05922E",
,"OM","QLM","Qarn Alam","Qarn Alam","WU","--3-----","RL","1501",,"2118N 05705E",
,"OM","QUO","Quoin Island","Quoin Island",,"1-------","RQ","0907",,"2635N 05631E",
,"OM","QYT","Qurayyat","Qurayyat","MA","--3-----","RL","1701",,"2319N 05854E",
,"OM","RAY","Raysut","Raysut",,"1-------","QQ","8103",,,
,"OM","RUS","Rusayl","Rusayl","MA","--3-----","RL","0701",,"2332N 05811E",
,"OM","RWI","Ruwi","Ruwi",,"0-------","RQ","9307",,,
,"OM","SAF","Safa","Safa","DA","--3-----","RL","1801",,"2347N 05641E",
